STATE/UNION TERRITORY,2007-08(ACTUALS) PLAN,2007-08(ACTUALS) NON-PLAN,2007-08(ACTUALS) Total,2008-09(R.E.) PLAN,2008-09(R.E.) NON-PLAN,2008-09(R.E.) TOTAL,2009-10(B.E.) PLAN, 2009-10(B.E.) NON-PLAN, 2009-10(B.E.) TOTAL
TOTAL (STATES & U.T.),10.74,17.95,16.52,10.21,18.51,16.57,10.97,19.31,17.44
ANDHRA PRADESH,3.87,13.11,10.73,3.10,15.04,10.82,8.40,12.57,11.40
ARUNACHAL PRADESH,17.19,8.33,12.42,9.28,11.48,10.70,6.03,14.06,10.33
ASSAM,1.93,25.65,21.96,2.37,22.84,17.20,3.83,18.20,14.94
BIHAR,4.88,27.28,21.48,15.87,21.94,20.40,17.35,23.68,22.31
CHHATTISGARH,28.43,10.60,16.48,25.78,11.04,17.35,27.61,11.97,18.94
GOA,12.09,13.51,13.22,13.80,15.02,14.80,10.51,13.78,13.16
GUJARAT,4.12,18.58,15.30,5.36,17.02,13.83,5.88,14.90,12.30
HARYANA,23.28,13.56,15.32,22.49,17.09,18.21,23.03,19.64,20.38
HIMACHAL PRADESH,9.15,18.88,17.47,8.49,20.72,19.58,7.60,21.36,20.00
JAMMU & KASHMIR,-,9.84,9.39,32.47,11.18,11.94,40.97,12.56,13.92
JHARKHAND,18.43,17.64,17.91,12.70,21.64,18.54,15.23,21.26,19.39
KARNATAKA,15.60,18.24,17.65,15.97,21.04,19.76,13.32,19.93,17.97
KERALA,5.09,19.08,17.80,5.26,20.64,18.68,7.44,21.56,19.63
MADHYA PRADESH,9.59,15.40,13.85,14.07,17.45,16.55,13.30,16.66,15.67
MAHARASHTRA,5.44,23.56,20.68,5.55,23.84,20.28,1.27,25.11,19.72
MANIPUR,10.12,17.64,16.06,5.07,16.55,14.17,10.63,15.68,14.69
MEGHALAYA,12.81,15.34,14.53,9.79,15.96,12.95,10.64,16.56,13.99
MIZORAM,16.77,13.79,14.80,13.24,13.27,13.26,14.15,15.04,14.73
NAGALAND,6.11,14.64,13.03,4.13,13.55,11.38,4.73,13.94,11.65
ORISSA,9.46,18.79,16.64,9.14,19.52,17.08,8.98,21.50,18.76
PUNJAB,5.71,11.72,11.42,11.33,11.46,11.45,12.79,11.93,12.00
RAJASTHAN,10.87,19.97,18.37,12.99,22.97,21.23,11.34,24.40,22.25
SIKKIM,22.33,6.91,9.67,19.39,8.81,11.48,21.92,10.61,13.17
TAMIL NADU,6.33,17.85,15.62,5.24,19.10,16.50,7.22,19.97,17.61
TRIPURA,3.87,21.29,17.70,4.79,20.57,17.26,6.19,20.94,18.38
UTTARAKHAND,22.08,20.79,21.11,11.85,14.50,13.82,13.71,28.49,25.46
UTTAR PRADESH,18.45,16.95,17.22,13.59,17.81,16.72,16.46,18.77,18.33
WEST BENGAL,12.73,18.20,17.24,9.10,14.59,13.65,9.87,20.18,18.18
A. & N. ISLANDS,11.09,10.48,10.66,12.47,12.30,12.35,11.88,14.25,13.49
CHANDIGARH,22.97,15.71,16.60,26.40,15.40,16.63,26.78,16.56,17.27
DADRA & NAGAR HAVELI,28.99,1.59,3.20,27.37,1.63,3.05,30.27,1.38,2.84
DAMAN & DIU,16.36,3.48,4.31,16.05,3.26,4.25,16.23,3.39,4.51
DELHI,14.11,25.70,21.74,12.09,29.26,23.31,12.27,31.78,25.60
LAKSHADWEEP,8.75,10.10,9.87,12.50,11.28,11.50,12.79,11.88,12.04
PUDUCHERRY,11.35,9.96,10.49,9.13,11.83,10.64,10.44,12.06,11.29