Indian State/Union Territory,Males Scheduled Castes,Females Scheduled Castes,Males Scheduled Tribes,Females Scheduled Tribes,Males Non-SCslSTs,Females Non-SCslSTs
INDIA,37.7,13.0,29.8,9.6,62.9,35.3
Andhra Pradesh,29.5,12.0,14.5,4.1,52.4,27.8
Arunachal Pradesh,54.6,29.3,25.5,8.9,52.2,31.5
Bihar,22.3,3.0,31.5,9.2,52.6,19.9
Goa,55.0,29.7,46.2,21.2,76.5,55.7
Gujarat,64.5,30.6,36.8,14.0,70.1,43.6
Haryana,39.1,8.6,0,0,63.0,31.1
Himachal Pradesh,51.0,24.9,47.0,15.3,70.0,43.5
Karnataka,35.9,13.9,36.7,12.1,64.2,38.0
Kerala,72.6,57.2,44.8,30.9,89.9,78.2
Madhya Pradesh,37.4,8.4,21.9,4.4,6O.0,1 26.9
Maharashtra,58.5,25.5,39.3,14.4,73.8,45.2
Manipur,5O.9,30.4,58.0,35.7,66.8,34.3
Meghalaya,40.1,19.5,42.8,35.9,5O.4,43.6
Mizoram,92.2,66.7,80.3,68.8,72.1,5O.8
Nagaland,0,56.0,39.1,68.6,51.5
Orissa,42.2,11.1,27.7,5.5,69.8,35.6
Punjab,37.6,19,0,0,0,62,0,46.9
Rajasthan,30.5,3,3,23.6,1.5,51.7,18,7
Sikkim,43,9,24.5,52.5,27.2,53.8,27.7
Tamil Nadu,47.1,21.0,26,7,12.6,72.3,44.2
Tripura,52.9,27.9,40.6,14.7,73,8,52.2
Uttar Pradesh,30.6,4.7,38.3,10.8,52.0,20.6
West Bengal,41.6,16.6,25.3,5.9,67.8,44.3
A & N Islands,0,0,47.0,28.0,73.0,57.2
Chandigarh 55.2,30.8,0,0,82.6,75.2
0 & N Haveli,74.7,53.0,31.5,9.9,86.9,64.0
Daman & Diu,84.5,52.7,41.1,22.4,79.3,49.6
Delhi 6O.9,31.4,0,0,83.1,69.1
lakshadweep,0,0,79.7,53.3,98.2,0,94.7
Pondicherry 5O.6,24.4,0,0,82.2,58.3 