Indiai States/Union territories,All religious communitie,Hindus,Muslims,Chnstians,Sikhs,Buddhists,Jains,Others
India,100.0,80.5,13.4,2.3,1.9,0.8,0.4,0.6
Jammu & Kashmir,100.0,29.6,67.0,0.2,2.0,1.1,0.0,0.0
Himachal Pradesh,100.0,95.4,2.0,0.1,1.4,1.20.0,0.0
Punjab,100.0,36.9,1.6,1.2,59.9,0.2,0.2,0.0
Chandigarh,100.0,78.6,3.9,0.8,16.1,null,0.1,0.3.0.0
Uttaranchal,100.0,85.0,11.9,0.3,2.5,0.1,0.1,0.0
Haryana,100.0,88.2,5.8,0.1,5.5,0.0,0.3,0.0
Delhi,100.0,82.0,11.7,0.9,4.0,0.2,1.1,0.0
Rajasthan,100.0,88.8,8.5,0.1,1.4,0.0,1.2,0.0
Uttar Pradesh,100.0,80.6,18.5,0.1,0.4,0.2,0.1,0.0
Bihar,100.0,83.2,16.5,0.1,0.0,0.0,0.0,0.1
Sikkim,100.0,60.9,14,6.7,0.2,28.1,0.0,2.4
Arunachal Prad.esh,100.0,34.6,1.9,18.7,0.2,13.0,0.0,30.7
Nagaland,100.0,7.7,1.8,90.0,0.1,0.1,0.1,0.3
Manipur,100.0,46.0,8.8,34.0,0.1,0.1,0.1,10.9
Mizoram,100.0,3,6,1.1,87.0,0.0,7.9,0.0,0.3
Tripura,100.0,85.6,8.0,3.2,0.0,3.1,0.0,0.0
Meghalaya,100.0,13.3,4.3,70.3,0.1,0.2,0.0,11.5
Assam,100.0,64.9,30.9,3.7,0.1,0.2,0.1,0.1
West Bengal,100.0,72.5,25.2,0.6,0.1,0.3,0.1,1.1
jharkhand,100.0,68.6,13.8,4.1,0.3,0.0,0.1,13.0
Orissa,100.0,94.4,2.1,2.4,0.0,0.0,0.0,1.0
Chhattisgarh,100.0,94.7,2.0,1.9,0.3,0.3,0.3,0.5
Madhya Pradesh,100.0,91.1,6.4,0.3,0.2,0.3,0.9,0.7
Gujarat,100.0,89.1,9.1,0.6,0.1,0.0,1.0,0.1
Daman & Diu,100.0,89.7,7.8,2.1,0.1,0.1,0.2,0.1
Dadra & Nagar Haveli,100.0,93.5,3.0,2.7,0.1,0.2,0.4,0.0
Maharashtra,100.0,80.4,10.6,1.1,0.2,6.0,1.3,0.2
Andhra Pradesh,100.0,89.0,9.2,1.6,0.0,0.0,0.1,0.0
Kamataka,100.0,83.9,12.2,1.9,0.0,0.7,0.8,0.2
Goa,100.0,65.8,6.8,26.7,0.1,0.0,0.1,0.0
Lakshadweep,100.0,3.7,95.5,0.8,0.0,0.0
Kerala 100.0,56.2,24.7,19.0,0.0,0.0,0.0,0.0
Tamil Nadu,100.0,88.1,5.6,6.1,0.0,0.0,0.1,0.0
Pondicherry,100.0,86.8,6.1,6.9,0.0,0.0,0.1,0.0
Andaman & Nicobar Island!,100.0,69.2,8.2,21.7,0.4,0.1,0.0,0.1